,Username,Book,Date,Rating,Comment
63,Bentley ★ Bookbastion.net,The Lightning Thief ,"Mar 19, 2017",5,"My inner child is absolutely devastated that I didn't read this series when I was a kid. Percy Jackson was one of those series that was always there, just on the periphery of my social conscious. I knew I should read it, but for one reason or another I gravitated to other things instead. 


Thankfully, as an adult who likes reviewing books for fun in my spare time, I have absolutely no shame about reading the series now, even if it was originally intended for a younger audience. In some ways, I think I might have even enjoyed it more as an adult. 

I'm a huge fan of Greek mythology. (I may or may not have filled electives in high school and college with classes on mythology; just like I may or may not have obsessed over shows like Xena and Hercules in my teenage years.) I had a great time comparing my own personal knowledge of Greek mythology against the ways that Riordan weaves the stories into Percy's larger adventure.

It's such a fun way to introduce Greek mythology to children and teens while staying entertaining for adults as well! The mythology remains faithful to the original stories, but it feels fresh and fun here as each character is full of personality and charm. The world is full of magic and wonder and I never once felt bored as the characters explored within it. 

Speaking of characters full of personality, Percy Jackson himself is one of my new faves in terms of characterization. He's brave, loyal and hilarious and his friendship with Grover and Annabeth has quickly become a favorite for me. Also, can I just say that I think it's so cute that Riordan based Percy on his son, who had been diagnosed with ADHD and dyslexia? I think it's so awesome that Percy gets to sort of stand apart from other heroes in stories as a champion for those kids forevermore. 

When I finished reading this book, I immediately went and told my 11 year old nephew that he absolutely had to read this book so I had someone to talk to about it. I'm proud to call myself a Percy Jackson fan and will be continuing the rest of the series shortly! 

★★★★★ = 5 stars! 

See this review and more on my blog: Book Bastion my blog: 
__________________

Can ya'll believe I've never read this series before? I picked up the first 3 books on a whim the other day and am excited to give it a go. 

RTC."
64,jessica,The Book Thief,"Jun 14, 2012",5,"it has been more than six years since i read this book, more than six years to write a review. and honestly, i still get emotional when i think about the beauty of this story. it broke my heart and then healed it all within the space of 144,000 heavy words, 550 fragile pages, 88 touching chapters, and 1 incredible story. deaths truth may be that he is haunted by humans, but mine is i am haunted by this book. and i wouldnt have it any other way, as it is truly a pleasure.

↠ 5 stars"
65,Thomas,The Help,"Apr 17, 2010",2,"1.24.2020 update:

Whew I originally read this book when I was in high school and wow did I lack racial awareness then. I left my original five-star review below, though now I recognize that there are a lot of problems with a white woman portraying the south in this way. Here's a link to an article that explains this with a good amount of depth, featuring the perspective of Viola Davis: https://www.telegraph.co.uk/films/201...

Here's a concise Goodreads review I'd recommend checking out: https://www.goodreads.com/review/show...

Original review:

Originally, I thought this book should have been retitled The Hype. At least that's what I told my friend. I remember thinking something along the lines of, blah, another story about racism in the old southern days? Must be the chick-lit version of To Kill a Mockingbird. Wow. I was so wrong.

The Help details the lives of three women living in Jackson, Mississippi, right when the Civil Rights Movement began. There is Skeeter, a twenty-two-year-old aspiring writer who terribly misses her maid, Constantine. Aibileen is an experienced and knowledgeable black maid who is currently taking care of her seventeenth child, Mae Mobley, even though she realizes what's at stake for both of them. And Minny is a fierce, sassy cook who doesn't take nonsense from anyone, even when it risks her employment. This tumultuous trio takes the first step in sparking a movement that will ignite fire to the racism and hypocrisy of their small town.

My synopsis of the story probably isn't even a tenth of the merit it deserves. I don't want to spoil too much about the book, but the most amazing thing about The Help is its characters. They are so real, so lifelike, I could feel their thoughts pulsing through my head and their emotions racing through my veins. I was angry alongside them, cheered for them, and cried with them.

I think everyone should read this book, especially people who are ignorant about the racism and hypocrisy that still manages to plight everyday society. The Help wasn't just a darn good read, but something that has made me reevaluate and examine my own morals. I'll never forget it.

Want to read more of my reviews? Follow me here."
66,J.G. Keely,The Catcher in the Rye,"May 26, 2007",2,"Sometimes truth isn't just stranger than fiction, it's also more interesting and better plotted. Salinger helped to pioneer a genre where fiction was deliberately less remarkable than reality. His protagonist says little, does little, and thinks little, and yet Salinger doesn't string Holden up as a satire of deluded self-obsessives, he is rather the epic archetype of the boring, yet self-important depressive.

I've taken the subway and had prolonged conversations on the street with prostitutes (not concerning business matters), and I can attest that Salinger's depiction is often accurate to what it feels like to go through an average, unremarkable day. However, reading about an average day is no more interesting than living one.

Beyond that, Salinger doesn't have the imagination to paint people as strangely as they really are. Chekhov's 'normal' little people seem more real and alive than Salinger's because Chekhov injects a little oddness, a little madness into each one. Real people are almost never quite as boring as modernist depictions, because everyone has at least some ability to surprise you.

Salinger's world is desaturated. Emotions and moments seep into one another, indistinct as the memories of a drunken party. Little importance is granted to events or thoughts, but simply pass by, each duly tallied by an author in the role of court reporter.

What is interesting about this book is not that it is realistically bland, but that it is artificially bland. Yet, as ridiculous a concept as that is, it still takes itself entirely in earnest, never acknowledging the humor of its own blase hyperbole.

This allows the book to draw legions of fans from all of the ridiculously dull people who take themselves as seriously as Holden takes himself. They read it not as a parody of bland egotism but a celebration, poised to inspire all the bland egotists who have resulted from the New Egalitarianism in Art, Poetry, Music, and Academia.

Those same folks who treat rationality and intellectual fervor like a fashion to be followed, imagining that the only thing required to be brilliant is to mimic the appearance and mannerisms of the brilliant; as if black berets were the cause of poetic inspiration and not merely a symptom.

One benefit of this is that one can generally sniff out pompous faux intellectuals by the sign that they hold up Holden as a sort of messianic figure. Anyone who marks out Holden as a role-model is either a deluded teen with an inflated sense of entitlement, or is trying to relive the days when they were.

But what is more interesting is that those who idolize Holden tend to be those who most misunderstand him. Upon close inspection, he's not depressive, not consumed with ennui or an existential crisis, he's actually suffering from 'Shell Shock'--now known as 'Post-Traumatic Stress Disorder'.

The way he thinks about his brother's and classmate's deaths--going over the details again and again in his mind, but with no emotional connection--it's not symptomatic of depression, but of psychological trauma. He is stuck in a cycle, unable to process events, going over them again and again, but never able to return to normalcy.

It takes a certain kind of self-centered prick to look at someone's inability to cope with the reality of death and think ""Hey, that's just like my mild depression over how my parents won't buy me a newer ipod!"" It's not an unusual stance in American literature--there's an arrogant detachment in American thought which has become less and less pertinent as the world grows and changes. As recently as The Road we have American authors comparing a difficult father-son relationship to the pain and turmoil of an African civil war survivor--and winning awards for displaying their insensitive arrogance.

Perhaps it's time we woke up and realized that the well-fed despondence of the white man should not be equated with a lifetime of death, starvation, war, and traumas both physical and emotional. And as for Salinger--a real sufferer of Post-Traumatic Stress who was one of the first soldiers to see a concentration camp, who described how you can never forget the smell of burning flesh--I can only imagine how he felt when people read his story of a man, crippled by the thought of death, and thought to themselves ""Yes, that's just what it's like to be a trustafarian with uncool parents"". No wonder he became a recluse and stopped publishing."
67,whalesister,The Chronicles of Narnia ,"Mar 28, 2008",5,"I read the entire series, one right after another, eight times in a row when I got them for Christmas in fourth grade. Obviously I loved them then. Just finished reading them again to Eric, my 8-year-old, and loved them maybe just as must as I did as a 10-year-old. Eric couldn't stop giggling through the last pages of Horse and His Boy, which we had to reread when we finished the rest, since it was his favorite. We're starting Prince Caspian again, too--another favorite. I realized this go around how much these books shaped my entire world view, and especially my perspective on religion, though I never knew it as a kid. 

One odd little detail that I noticed this time reading Voyage of the Dawn Treader: awful cousin Eustace and his parents are Mormons. Lewis never comes right out and says it, but in addition to being snooty holier-than-thous that nobody can stand, the parents don't drink, don't smoke, and wear a funny kind of underwear. A nice little under-handed slam at a faith that loves to quote him in General Conference. 

I'll still keep quoting. I love his writing."
68,Jim Fonseca,The Picture of Dorian Gray,"Nov 11, 2011",5,"Even if we haven’t read the book everyone knows the plot. A painter paints a portrait of a beautiful young man. The portrait ages while he keeps his beauty. But the portrait also reflects his evil, not just aging, but turning eventually into a portrait of a devil. 

There are thousands of reviews so I’ll just copy the next paragraph from the GR book blurb: 

Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact, “a terrible moral in Dorian Gray.”




The various nuggets of philosophy and thoughts and acerbic wit that the author intersperses throughout are a pleasure to read. Just a few examples:

 On a painter’s reputation “…as soon as you have one, you seem to want to throw it away. It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about.”

 “The ugly and the stupid have the best of it in this world.”

 About a hostess introducing her guests: “She either explains them entirely away, or tells one everything about them except what one wants to know.”

“I make a great difference between people. I choose my friends for their good looks, my acquaintances for their good characters, and my enemies for their good intellects.” 

 “Words! Mirror words! How terrible they were! How clear, and vivid, and cruel!… Mere words! Was there anything so real as words?”



“Nothing can cure the soul but the senses, just as nothing can cure the senses but the soul.” 

 [She] is so dreadfully dowdy that she reminded one of a badly bound hymn-book.”

 [of an uncommunicative old man] “…he had said everything that he had to say before he was 30.”

 “He was always late on principle, his principle being that punctuality is the thief of time.”

 “Men marry because they are tired; women, because they are curious: both are disappointed.”

“…his guardians, who were extremely old-fashioned people and did not realize that we lived in an age when unnecessary things are our only necessities…”

Here are three vicious descriptions just going around a single dinner table:

A woman with “…the remains of a really remarkable ugliness.”

A man who is “…one of those middle-aged mediocrities so common in London clubs who have no enemies, but are thoroughly disliked by their friends…”

A man who “…like so many of his class, was under the impression that inordinate joviality can atone for an entire lack of ideas.”




In his short life (1854-1900) Wilde was part of the movement called aestheticism – “art for art’s sake,” not for its deeper meanings. Wilde’s brief preface give us his ‘manifesto,’ bits of which are: 

“To reveal art and conceal the artist is art’s aim…Those who find beautiful meanings in beautiful things are the cultivated…There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all…All art is at once surface and symbol…It is the spectator, and not life, that art really mirrors…All art is quite useless.”

I should also say that the edition I read, 2018 by Read Books Ltd., had two errors in dates on the cover blurb. Does it matter? Not really, but it makes you wonder what else is sloppy inside the text.

Top image from wikipedia
London street around 1900 from cloudfront.net
The author from thedailybeast.com"
69,Lisa of Troy,Animal Farm,"Jan 28, 2022",5,"Animal Farm is the story of a set of animals who overthrow their human-owner. Will the animals have better lives now that the humans are gone?

Philip Pullman once said that, ""A story will help us make sense of anything."" In this case, George Orwell uses Animal Farm as an allegory of Russian history with certain characters representing famous Russian historical figures such as Karl Marx, Vladimir Lenin, Joseph Stalin, and Leon Trotsky. 

This book was part of the monthly Readalongs that I am hosting, and what a wonderous book to begin 2022! The Readalong was simply spectacular and gave this reading such a particular depth. As the Readalong encompassed readers across the globe, we had the opportunity to discuss how the book related to our own government's history. Animal Farm provides a lot of ideas to noodle on, and I really enjoyed it. 

This is one of the books on the 100 Books to Read According to the BBC List:
https://www.listchallenges.com/bbcs-t...

2023 Reading Schedule
Jan Alice in Wonderland
Feb Notes from a Small Island
Mar Cloud Atlas
Apr On the Road
May The Color Purple
Jun Bleak House
Jul Bridget Jones’s Diary
Aug Anna Karenina
Sep The Secret History
Oct Brave New World
Nov A Confederacy of Dunces
Dec The Count of Monte Cristo

Connect With Me!
Blog Twitter BookTube Facebook Insta"
70,Melanie,The Lightning Thief ,"Apr 08, 2020",5,"five stars, because this book just makes me so very happy.

Blog | Instagram | Youtube | Ko-fi | Spotify | Twitch 

Content and Trigger Warnings: bullying, loss of a parent, minor blood depiction, talk of abuse, and arachnophobia."
71,MacK,Pride and Prejudice,"Aug 12, 2007",5,"Where my massive crush on Jane Austen began: alone, on a hot day in Montana, cursing her name.

I had to read it for AP English and I could not see the point. Girls need to marry. Girls can't get married. Girls are sad. Girls get married. Girls are happy.

I went to school to half heartedly discuss it and waffled and wavered in an effort to please my teacher. Finally she said: ""was it good or not, Ben?"" 

""No it wasn't.""

""Thank you...now read this twenty pages of literary criticism for homework.""

Twenty pages of literary criticism later, I was hooked. Once you know what to look for, it's hilarious. Once you're keyed into the contextual life of women, you have to feel for the plight of the Bennet sisters, and laugh at the crudity of their mother and Mr. Collins.

So yes: I'm a guy and I love Jane Austen. You got a problem with that? Huh? Huh? Do you? Huh??? Well if you do, I'll be over here nursing my dorkiness just waiting for a fight for the honor of my beloved Jane."
72,Tharindu Dissanayake,The Lightning Thief ,"Jan 20, 2021",4,"""You need to study war, punk.""

Given how well received this book is (and the entire series), I was looking forward to continue my fantasy to-read list with Percy Jackson and the Olympians for a while now. I know it's children's book, but when has that ever stopped me.. But still, one cannot help but be somewhat anxious while starting a new series, for things could go either way. And when things turn out better than expected - like it did with Lightening Thief - life is beautiful. This is a wonderful little story, and hopefully the first of many, of an interesting series.

""Remarkable, really, the lengths to which humans will go to fit things into their version of reality.""

Being a children's story, it's understandable that character building plays the bigger role compared to setting up the environment. Still, I think the environs were adequately defined. The main characters - including the first person protagonist - were interesting, fun and delightful to observe. However, for me, the secondary characters appeared a little too funny, even when they were supposed to be threatening. It took away some of the suspense/ thrill that could've been there in my opinion. And also, if the set of main characters were a little older, may be things would appear a little more realistic (relatively). But as the plot itself is great, it's easy to forget those shortcomings, and enjoy the story. Obviously, none of these would matter to kids at all, who will find the entire thing to be quite entertaining. Sequence of events is very well thought out, and laid out in a way that will make you want to read the entire thing in one go, which is not difficult to do actually, as the book is not very long. Everything is well written, and well capable of intriguing one to continue with the rest of the series (which I'll be doing shortly).

""The truth is not always clear until events come to pass."""
73,Jonathan Terrington,Dracula,"Sep 15, 2011",5,"Dracula: the very name instantly brings to mind visions of vampires, stakes, garlic, and crucifixes. Yet, when one bothers to read the novel, it becomes self-evident how twisted modern vampire fiction now is.

Vampires are not meant to inhabit the roles of heroes. Go back a few hundred years and men believed truly that the vampire was a real immortal, cursed to quench his undying thirst with a living mortal’s blood. The very idea of a blood drinker should, therefore, inspire the image of a villain within the mind. And that is what the titular character of this novel is.

The word novel is not used lightly, as one could also write that this is a collaboration of journals, letters and papers. For that is how Bram Stoker chose to fashion his famous novel (in epistolary form). While the different viewpoints through each journal serve to create suspense which suits the gothic tone of the novel perfectly.

In all, it is a macabre novel that serves to make the reader reflect upon good and evil. The vampire, to me, is nothing more than an indication of man’s cursed nature. Who, unless he is delivered, must suck the life from others around him. Ultimately only the righteous can destroy the darkness that serves to drain life. That is the lesson which Bram Stoker's timeless classic unswervingly conveys."
74,NickReads,A Game of Thrones ,"Apr 07, 2015",5,"You can find the full review and more about this book on my blog!

 

GEORGE R.R. MARTIN,YOU FREAKING GENIUS!

 

To be honest,I never thought I would read this,not because it is something I don't like(it is something I most like),but it is so huge.But now I thank the gods and the kings for making me read this.I can't explain how much I admire this book.It has been a part of my geeky life and I am proud for that.I am a fan,an ultimate true fan!

 

These are some things you get from reading this book:

Smart talks and tactics
Tyrion Lannister
the freaking hot Daenerys Targaryen
Dragons
Blood

Okay so now I'll list things I like from the book:

Daenerys Targaryen
Daenerys Targaryen
Daenerys Targaryen
Daenerys Targaryen
Daenerys Targaryen
Daenerys Targaryen
Daenerys Targaryen
Daenerys Targaryen
Daenerys Targaryen


And things I didn't like:

Theon Greyjoy and the bitch(Joffrey Lannister)

everything else was perfect:)

 

Okay so now I'll talk about the perfection of them all Daenerys Targaryen.She is not only my favorite character of all,but after I started watching the show,and she had a face,and boy what a face,I am truly deeply in love(and I got to see her naked).God bless the show.Daenerys is the mother of dragons and you will know what I am talking about in the end of the book,which for me was one of the best endings I have ever read.

 

This world is so complex and there are so many characters,yet it is so thrilling and fun to read.And I love the idea of not having safe characters.In every page you turn,your favorite character can die.

 

I highly recommend this book,this is clearly one of the best works I have read of the last century.And this goes to Mr.Martin


Please kill Joffrey:)




*Pictures from the review are not mine, I took them mostly from Google images or Tumblr*"
75,Riley,A Game of Thrones ,"Jan 30, 2014",5,So glad I reread this! I loved it even more this time and it just reaffirmed that this is my favorite series
76,❀ Lily ❀,The Outsiders,"May 03, 2020",5,"This reread was just as good as the first time around!
I forgot how much action takes place over such a short time span

Watch my video review here: https://youtu.be/ZtwrVrPeAIw"
77,Hannah Azerang,The Hunger Games ,"Dec 22, 2014",5,rereading this for the first time in 10 years and it feels more relevant than ever. truly a timeless classic.
78,Melanie,City of Bones ,"Apr 23, 2018",3,"“Where there is love, there is often also hate. They can exist side by side.”


Hi, my name is Melanie, and I’m the last person on this planet to read anything by Cassie Clare! But I had too many best friends who promised me that reading this series would be worth it for me to finally get to Lady Midnight! Well, the other night I did an Instagram poll, because I wanted something fae and I was just going to pick up Lady Midnight, without reading any of Cassie’s other work, and some of my friends lost their shit, to put it lightly. And this is the story of how I got roped into finally reading City of Bones in 2018.

Again, I’m the last person to read this, but City of Bones starts off with a young girl named Clary, and her and her friend, Simon, are in line for a teen club. Yeah, the two-thousand vibes were real. Once inside the club, a couple individuals catch her eye and she can’t resist following them out of the club, to only realize that she isn’t supposed to be able to see them in the first place. 

We are then thrown into the paranormal world that is hidden from the mundanes (non-magical humans). We see vampires, werewolves, fae *swoons forever*, angels, demons, and everything else you think of when you think paranormal. And we also are introduced to the world of shadowhunters, the warriors who are sworn to defeat the demons. 

And Clary’s world gets turned upside down when she realizes that her mother has been doing everything in her power to keep her hidden from this paranormal world. And Clary can’t even ask her for the truth, because her mother has gone missing. And the only people who can help her are the shadowhunters. *dun dun dun*



“Keep in mind that when your mother fled from the Shadow World, it wasn’t the monsters she was hiding from. Not the warlocks, the wolf-men, the Fair Folk, not even the demons themselves. It was them. It was the Shadowhunters.”


Back when this series came out, everyone was saying it was “Harry Potter fanfic” and my pretentious, Harry Potter obsessed self wasn’t going to read anything that was a rip off of my fandom. And were a few of the similarities there? Yeah, I mean, this is a story that centers around three brothers with three magical items that a certain villain wants, who has been presumed dead for a while now. The parallels (and names, I guess) between Valentine and Voldemort are very apparent, especially their desire for wanting magic blood to be pure. But besides this big aspect, I really couldn’t easily see any other Harry Potter elements.

But you know what else? City of Bones holds up decently well in 2018. I was a little thrown off that it is told in third person, but I actually think it has aged pretty well. I am always so desperately scared to go back and read my high school favorites, because I doubt they will hold up and have the same magic they did back in the mid two-thousands. This this was a good read, and it was funny, and touched on a lot of things that are super relevant and “cool” today. 

And I was honestly impressed that Cassandra Clare wasn’t scared to write in LGBTQIAP+ characters in 2007. I was surprised that we got confirmation for two characters, without it ever feeling manipulative or even drawn out. And she even touches on homophobia and how differently a character would be treated if their colleagues knew he was gay. I mean, this is pretty impressive for 2007, and it wasn’t lost on me. I will say the end there was a villain that maybe did the things he did because of his love for another man that I wish wasn’t in the book, but it didn’t erase the good Cassie did with the other two characters. 



“The meek may inherit the earth, but at the moment it belongs to the conceited. Like me.”


This book also surprisingly made me laugh. Jace is like the most sarcastic character ever, and he actually had me laughing in so many scenes. And I loved seeing the mystery unfold right alongside Clary. Magnus was everything, I wanted so much more of him instantly. But I ended up thinking that Luke and his backstory stole the spotlight. I wasn’t prepared for those feelings. And this book had a huge cast of characters, so I’m very curious about how I’ll feel about all of them as the series progresses. 

Quick sentence about how the characters made me feel: 
➽ 
Clary
 - super likeable.
➽ 
Jace
 - half love and half hate (and still side eyeing you all, maybe). 
➽ 
Simon
 - so annoying, please, no one give this boy a certain cup.
➽ 
Isabelle
 - marry me this instant.
➽ 
Alec
 - I feel neutral but hope to end up liking more.
➽ 
Magnus
 - going to be the best character in literature. 
➽ 
Luke
 - the star of this book for me. 
➽ 
Hodge
 - super good surprise. 
➽ 
Valentine
 - needs to get bent. 



“You want to know what it’s like when your parents are good churchgoing folk and you happen to be born with the devil’s mark?”


Overall, I went into this with the lowest of expectations. Like, picture the lowest expectations that a human can have. Okay, now, mine were lower than even that. So maybe that’s why I got so much enjoyment out of this story. But I honestly did have a lot of fun with this, and it made me very curious to pick up the next book (hopefully soon)! Also, I have been very blessed to not be spoiled for anything in this series, the only thing I always hear was, “CLARY AND JACE!” Which is why I’m side-eyeing each one of you if the ending of this book is true. Like, you all nasty. 

Blog | Instagram | Twitter | Tumblr | Youtube | Twitch 

[Reread: March, 2019]
Oh my word, the appreciation I have for all the threads that Cassie Clare started weaving in this first book that truly started it all. Seeing these kids, not even beginning to understand what is ahead for them. My heart. I loved this way more the second time around, and I especially loved rereading this with Lea! ❤"
79,N,Twilight ,"Jun 07, 2007",1,"I really enjoy lively details. There's nothing better than knowing an author has really thought about her characters and situations, and come up with some surprising and delightful detail that makes the whole reading experience fuller. Lively details, you understand -- pointless details are a nightmare to read. I don't need to know that Bella ate a granola bar for breakfast. I REALLY DON'T. (Notice that I remembered the granola bar. I think this is partly because I was fervently hoping it would have significance. Like, she would spectacularly choke on her oatmeal the next day and think, ""AH, I should have had a granola bar like yesterday!"")

""Show, don't tell"" is not the be-all-and-end-all of writing. There's a little thing called summary narrative. It's beautiful; it facilitates plot progression without having to follow your narrator through 24-fucking-hours of a day... and ""watch"" as she eats a fucking granola bar for breakfast.

I've seen this novel accused of Mary Sue-ism and um, yeah, any character named Isabella Swan seems destined to be a Mary Sue. But honestly, I wouldn't begrudge a semi-autobiographical story if it actually had any of the realism of autobiography. All the high school/teenage stuff honestly made me boggle. Because... that's not what high school is like! That's not what being seventeen is like! Twilight reads like... well, it reads like a thirtysomething who has no recollection of being 17. Bella has all the emotional maturity of a 32-year-old and that's just not remotely believable. 

Meyer is not a bad writer. She has the ability to string words together. Unfortunately, she lacks any kind of flair. There was no original description; no truly evocative language. Twilight reads like Meyer has read a lot of mediocre novels and regurgitated the same kind of language onto the page. There is just nothing exciting to the language. The dialogue is awful: not only uninspiring and lacking in wit, but... it's all the same! There's no difference in speech patterns to the characters; no awareness of personal tics. The characterization is wafer-thin (see above, re: Mary Sue). The plotting is terrible: the novel trundles along at a slow pace for 250 pages and then Meyer seems to suddenly realize she needs a climax and the gears shift abruptly and the reader is caught up in a series of ridiculous contrivances that set up Meyer's final set-piece (which, by the way, I saw coming a mile away).

This is such a profoundly antifeminist novel. And it's funny, because I think Meyer has no idea that it's antifeminist. I mean, she has a female heroine! A heroine who reads Austen and writes essays about misogyny in Shakespeare! Surely she's kicking butt for all womankind. Um... no. She cooks, she cleans, she looks after the man in her life! She needs male characters to protect her from the big, bad, scary world! She falls headfirst into a disturbingly dysfunctional relationship with a man 90 years her senior without the slightest amount of worry!

Seriously. Bella/Edward. What's that all about? I don't get the attraction. He has her in his thrall. She is, let me quote, ""unconditionally and irrevocably"" in love with him -- and after, like, a week. o__O She's consumed by him; she's willing to sacrifice her life for him, and that's... romantic? I just think it's a bit sick, really. You know what I find romantic? Human warmth. Not sweeping, dramatic statements of everlasting and overarching love. Little, sweet moments of connection that ring true. That's something Twilight's apparently epic love story is sorely lacking in. (Did I say Bella has the emotional maturity of a 32-year-old? Well, except when it comes to Edward. There she has the emotional maturity of a dumb dog.)"
80,Guille,Drácula,"May 12, 2020",2,"Los libros rara vez me provocan carcajadas y nunca miedo, algún desasosiego quizás, pero miedo nunca, por lo que no me ha extrañado que este tampoco me lo produjera. Por el contrario, sí me han sorprendido las pinceladas de humor que aparecen de vez en cuando (“las mujeres parecían guapas, si no te aproximabas a ellas”) o la descripción que hace del conde y que contrasta tanto con la iconografía cinematográfica. La verdad es que soy incapaz de imaginarme a Drácula con bigote y con manos anchas y dedos regordetes. También me ha llamado la atención, aunque no me ha sorprendido dado el sexo del autor y la época, la ilimitada admiración que las señoritas sienten por el género masculino y, en comparación, la poca estima que demuestran por el propio. 

En conjunto, pese a la metedura de pata con temas como las transfusiones, demostrando así el gran desprecio por la ciencia que el autor sentía, o algunos hechos de la trama no bien justificados, o ese final que pareciera como si el autor, por la noche, con ganas ya de irse ya a dormir, la rematara deprisa y corriendo, me ha entretenido, sin más. 

Está claro que la novela tiene la gran virtud de haber creado el mito de Drácula, lo que no está al alcance de cualquiera. Y sin embargo, el personaje fue manifiestamente mejorado con posterioridad. 

Por cierto, Luis Alberto de Cuenca, nos cuenta en el prólogo de mi edición que la idea de crear al rey de los vampiros le surgió a Stoker tras cenar un indigesto centollo."
81,Carolyn Marie  Castagna,Wuthering Heights,"Nov 24, 2019",5,"My first re-read*

This story is still one of a kind! 

First read (November 2019)*

This book is truly one of a kind! I have never read a book so full of dislikable characters, but still feeling so attached to them at the same time. 
I am in awe of the Brontë sisters and can't wait to keep reading more of their work. 
Few books make me feel as if the setting is its own character, and Wuthering Heights is definitely its own entity. I could feel her descriptions in my bones! The cold harsh rain storms that overpower the Moors, the vast hills and twisting trees!! It was an incredible reading experience, and now I am so excited to delve deeper into Emily Brontë's poetry since this is unfortunately her only novel! Yet, what a novel it is!! 🍁🍂"
82,Adina,Brave New World,"Jan 06, 2014",5,"I finally managed to finish the dystopian classics triangle - 1984, Fahrenheit 451 and Brave new World. For me the winner is Brave New World. Although I find the world imagined is less realistic than the other two it is equally tragic. 

I finally got that somewhat lost feeling of total happiness when reading a book, that tingle in the pleasure receptors when you find a great book. Even though I recently read many books that I loved I seem to have lost that feeling of satisfaction when being face to face with an IT book. I thought the reason was that I started to read more, a lot more. Before Goodreads I used to read 10-15 book/year max so I had more time to enjoy a book, to get lost in it. Although I was happy that I read more and that I managed to finish books that I wanted to read for a long time the intensity of the feelings that reading stir in me had diminished. I am so elated that I can still get immersed in a book with all my being. I am so happy that I realized the problem is not how many books I read but what I read and the relationship I build with that book/author. I’ll keep reading when/what/how much I want to knowing that from time to time (probably once-twice/year) I will find that book that will make me remember why I read. 

When I started BNW I thought that it was going to be another one of those books that you know they are a work of art an appreciate them but in the same time are not very pleasant to read. Something like the Hunger by Hamsun or The Stranger by Camus. The beginning was really uncomfortable, especially the descriptions of the embryos and the erotic child games. Brrr. My hair stood up reading that. However, I quickly got absorbed and loved every second spent reading."
83,Emma Giordano,The Perks of Being a Wallflower,"Jun 29, 2014",5,I don't even think I can truly convey how much I loved this book other than to say it was entirely life changing and I'm so upset it took me this long to read it.
84,Stella,Ender’s Game ,"Jun 25, 2010",5,"If I fail my exams this week, I blame this book.

Ah Ender's Game, how you have sat on my bookshelf for over a year before I got to you. You have been so nicely received by the sci-fi community so why did I put you off? BECAUSE I WAS STUPID, THAT IS WHY.

My stupidity aside, I hope you guys will still consider this 5-star review to be credible and valid. I'll list off the pros and cons to this novel and you can decide.

Pros:
An adorable main character. 
Ender (Andrew) Wiggins was a breath of fresh air from the strong heroine of YA literature. Being a 6 year old at the beginning of the novel, I was completely caught off guard by his maturity and how sneaky he was.

The tactics used in the Game.
The reason the Hunger Games was interesting to me were solely due to the tactics Katniss used to stay alive, Well, guess what? Ender Wiggins just pretty much kick this Katniss chick's butt. Ender almost reminded me of Alexander the Great or Napoleon and I LOVED IT.

Oh the perceptive of Valentine and Peter was also very fascinating. The political backdrop highlighted by Demosthenes and Locke was very refreshing for a science student like me. 

Now, I shall move on to the cons:
The lack of romance.
OMG WHO AM I SUPPOSE TO SHIP NOW? NO DARK, MYSTERIOUS BOY WHO THE MAIN CHARACTER CAN FEEL SEXUALLY FRUSTRATED FOR.

Haha, just kidding. I am glad the focus was on Ender and his growth to his maximum potential. The lack of romantic development is one of the best thing about this novel. I find romance takes away from such a masterpiece.

Just to be clear, there are no cons to this book. I am just a fool who never listen to others' opinions and it often comes back to bite me in the rear.

Joke's on me, I suppose."
85,Richard,The Catcher in the Rye,"Jul 31, 2007",1,"My theory as to this book's unusually polarizing nature: either you identify with Holden Caulfield or you don't.

Those who see themselves (either as they were or, God help them, as they are) in Holden see a misunderstood warrior-poet, fighting the good fight against a hypocritical and unfeeling world; they see in Salinger a genius because he gets it, and he gets them.

Those of us who don't relate to Holden see in him a self-absorbed whiner, and in Salinger, a one-trick-pony who lucked into performing his trick at a time when some large fraction of America happened to be in the right collective frame of mind to perceive this boring twaddle as subversive and meaningful."
